date,label,theme,title,subtitle,highlight
2026-08-01,8月1日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 AB型（最高の相性♡ 一緒にいるほど元気になれる。）
2026-08-02,8月2日(日),zodiac_weekly,今週の運勢ランキング,12星座 総合運まとめ,1位 かに座（今日の主役はあなた。自信を持って大丈夫。）
2026-08-03,8月3日(月),zodiac_overall,今日の運勢ランキング,12星座 総合運 TOP12,1位 ふたご座（小さな奇跡が重なる日。ワクワクを大切に。）
2026-08-04,8月4日(火),blood_overall,血液型占い,今日のごきげん運ランキング,1位 O型（今日の主役はあなた。自信を持って大丈夫。）
2026-08-05,8月5日(水),zodiac_love,恋愛運ランキング,12星座 LOVE運 TOP12,1位 かに座（両想いの気配。かわいい自分を楽しんで♡）
2026-08-06,8月6日(木),lucky_color,今日のラッキーカラー,12星座別・開運カラー診断,星座別カラー
2026-08-07,8月7日(金),zodiac_money,金運ランキング,12星座 MONEY運 TOP12,1位 おひつじ座（お財布に嬉しい流れ。行動が実を結ぶ。）
2026-08-08,8月8日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 AB型（笑いのツボが合う黄金コンビ。）
2026-08-09,8月9日(日),zodiac_weekly,今週の運勢ランキング,12星座 総合運まとめ,1位 おひつじ座（何をしても輝く日。笑顔が幸運を呼ぶ♡）
2026-08-10,8月10日(月),zodiac_overall,今日の運勢ランキング,12星座 総合運 TOP12,1位 おうし座（無敵の一日。思い切った行動が大正解◎）
2026-08-11,8月11日(火),blood_overall,血液型占い,今日のごきげん運ランキング,1位 A型（何をしても輝く日。笑顔が幸運を呼ぶ♡）
2026-08-12,8月12日(水),zodiac_love,恋愛運ランキング,12星座 LOVE運 TOP12,1位 みずがめ座（あなたの魅力が最大級。素直な気持ちが届く。）
2026-08-13,8月13日(木),lucky_color,今日のラッキーカラー,12星座別・開運カラー診断,星座別カラー
2026-08-14,8月14日(金),zodiac_money,金運ランキング,12星座 MONEY運 TOP12,1位 みずがめ座（お財布に嬉しい流れ。行動が実を結ぶ。）
2026-08-15,8月15日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 AB型（笑いのツボが合う黄金コンビ。）
2026-08-16,8月16日(日),zodiac_weekly,今週の運勢ランキング,12星座 総合運まとめ,1位 しし座（小さな奇跡が重なる日。ワクワクを大切に。）
2026-08-17,8月17日(月),zodiac_overall,今日の運勢ランキング,12星座 総合運 TOP12,1位 いて座（キラキラ絶好調。周りから注目される予感。）
2026-08-18,8月18日(火),blood_overall,血液型占い,今日のごきげん運ランキング,1位 AB型（追い風マックス。新しい一歩を踏み出して。）
2026-08-19,8月19日(水),zodiac_love,恋愛運ランキング,12星座 LOVE運 TOP12,1位 やぎ座（あなたの魅力が最大級。素直な気持ちが届く。）
2026-08-20,8月20日(木),lucky_color,今日のラッキーカラー,12星座別・開運カラー診断,星座別カラー
2026-08-21,8月21日(金),zodiac_money,金運ランキング,12星座 MONEY運 TOP12,1位 てんびん座（お財布に嬉しい流れ。行動が実を結ぶ。）
2026-08-22,8月22日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 B型（最高の相性♡ 一緒にいるほど元気になれる。）
2026-08-23,8月23日(日),zodiac_weekly,今週の運勢ランキング,12星座 総合運まとめ,1位 てんびん座（運命が味方する日。直感を信じて。）
2026-08-24,8月24日(月),zodiac_overall,今日の運勢ランキング,12星座 総合運 TOP12,1位 おひつじ座（チャンス到来。ずっと欲しかったものが近づく。）
2026-08-25,8月25日(火),blood_overall,血液型占い,今日のごきげん運ランキング,1位 O型（キラキラ絶好調。周りから注目される予感。）
2026-08-26,8月26日(水),zodiac_love,恋愛運ランキング,12星座 LOVE運 TOP12,1位 おとめ座（ドキドキが加速する日。連絡してみて◎）
2026-08-27,8月27日(木),lucky_color,今日のラッキーカラー,12星座別・開運カラー診断,星座別カラー
2026-08-28,8月28日(金),zodiac_money,金運ランキング,12星座 MONEY運 TOP12,1位 さそり座（value のある買い物ができる日。目利き冴える。）
2026-08-29,8月29日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 O型（最高の相性♡ 一緒にいるほど元気になれる。）
2026-08-30,8月30日(日),zodiac_weekly,今週の運勢ランキング,12星座 総合運まとめ,1位 うお座（今日の主役はあなた。自信を持って大丈夫。）
2026-08-31,8月31日(月),zodiac_overall,今日の運勢ランキング,12星座 総合運 TOP12,1位 いて座（何をしても輝く日。笑顔が幸運を呼ぶ♡）
2026-09-01,9月1日(火),blood_overall,血液型占い,今日のごきげん運ランキング,1位 AB型（何をしても輝く日。笑顔が幸運を呼ぶ♡）
2026-09-02,9月2日(水),zodiac_love,恋愛運ランキング,12星座 LOVE運 TOP12,1位 てんびん座（両想いの気配。かわいい自分を楽しんで♡）
2026-09-03,9月3日(木),lucky_color,今日のラッキーカラー,12星座別・開運カラー診断,星座別カラー
2026-09-04,9月4日(金),zodiac_money,金運ランキング,12星座 MONEY運 TOP12,1位 やぎ座（金運絶好調！臨時収入の予感も♡）
2026-09-05,9月5日(土),blood_compat,血液型 相性ランキング,今日ハッピーになれる相手,1位 B型（笑いのツボが合う黄金コンビ。）
